promotion_id,promotion_name,start_date,end_date,discount_type,discount_value,min_purchase_amount,applicable_products
ac17f134-c21c-4034-b8e2-2209fa12dbdd,Programmable explicit matrices,2024-09-20,2024-10-30,fixed_amount,37,90,"['night', 'protect', 'create']"
9443852c-607f-4f6d-9bf9-7ff2f825b193,Extended eco-centric array,2024-09-11,2024-11-04,fixed_amount,32,11,['political']
f653dbbc-b55a-49b6-b04e-dfd23e8b393f,Upgradable high-level interface,2024-10-03,2024-11-08,percentage,96,98,"['finally', 'expect', 'suggest']"
3d4cac96-a5ab-4776-ab97-1337e0066821,Business-focused context-sensitive capacity,2024-09-19,2024-10-19,percentage,66,70,['Congress']
248ebbb1-660a-43b3-8866-98c285c3eb03,Progressive static productivity,2024-09-27,2024-10-27,fixed_amount,63,4,"['become', 'happen']"
c3e71862-ec6a-4d94-8c0c-caba591afb78,Organic stable core,2024-09-28,2024-11-06,percentage,13,32,"['defense', 'minute', 'situation']"
5f433d6e-ca04-446b-a7d3-5e3b413c2975,Stand-alone tertiary circuit,2024-09-17,2024-10-28,fixed_amount,97,65,"['suggest', 'yourself']"
a901c2b6-fa41-493d-a237-8a8781923573,Object-based well-modulated superstructure,2024-09-14,2024-10-17,fixed_amount,49,67,"['account', 'hospital', 'law', 'wall']"
d969b9d4-421a-4c10-ab8a-d8eeb62b2c3d,Synchronized optimizing budgetary management,2024-09-15,2024-10-29,fixed_amount,56,75,"['or', 'need', 'heart', 'head']"
a1aecdb9-a08d-4a8e-8d2c-0c888041186d,De-engineered tertiary concept,2024-10-01,2024-11-05,percentage,97,30,"['pattern', 'message', 'situation', 'new', 'resource']"
dd6a63f5-08e1-4cbf-9d0f-4f98a4e10558,Fundamental maximized productivity,2024-09-16,2024-10-15,fixed_amount,36,35,['particularly']
d8381f26-d0d6-4fcd-a020-ce8bc48a774c,Enterprise-wide hybrid customer loyalty,2024-09-23,2024-11-01,fixed_amount,60,85,"['charge', 'wide']"
310c0a75-804d-4ef5-988d-e80734ada1bf,Fundamental methodical neural-net,2024-09-16,2024-10-25,percentage,23,83,"['smile', 'book', 'television', 'voice', 'clear']"
20445a4d-3520-4ba3-b21f-b09e9d1ee2e8,Multi-tiered fault-tolerant application,2024-09-15,2024-11-08,percentage,54,84,"['woman', 'event', 'act', 'possible']"
c4f56087-2724-4874-b98b-76dffa182196,Secured multi-state archive,2024-09-26,2024-10-23,percentage,96,48,"['door', 'drive']"
20218391-a08c-468c-9787-3ffb56b19b31,Customizable global model,2024-10-05,2024-10-17,fixed_amount,6,70,"['letter', 'but', 'five', 'whatever']"
2201e477-156f-4772-9b38-9c8db29654f3,Multi-lateral secondary moderator,2024-10-06,2024-10-22,percentage,72,82,"['watch', 'local', 'month', 'before', 'magazine']"
64c81d43-775a-480d-b1eb-ba9d7fcce3fe,Intuitive intangible customer loyalty,2024-09-24,2024-10-14,fixed_amount,20,94,"['develop', 'state', 'compare', 'vote']"
45aabcc1-44aa-4afa-b126-6d08595b3a92,Assimilated responsive focus group,2024-09-15,2024-10-24,fixed_amount,28,62,"['against', 'contain', 'wrong', 'general']"
5f53639e-8823-4a68-a210-1df817af10ec,Ergonomic 6thgeneration contingency,2024-10-03,2024-10-17,fixed_amount,78,30,"['big', 'decision', 'run']"
c135b348-1444-45d4-ab80-250fe33338ba,Inverse asynchronous data-warehouse,2024-09-18,2024-10-17,percentage,56,64,['spring']
94c8de68-31cf-4c53-9385-f3b77a047eee,Adaptive even-keeled throughput,2024-10-07,2024-10-25,percentage,94,48,"['official', 'across']"
7cdd9d74-0321-4537-9de3-f09fe7105fb7,Polarized multi-state Local Area Network,2024-09-27,2024-11-05,percentage,36,29,"['brother', 'you']"
bb96bce3-2c34-4f48-9022-eb933c0e2a97,Reverse-engineered zero tolerance instruction set,2024-09-13,2024-10-15,fixed_amount,57,69,"['show', 'job', 'accept', 'score', 'manage']"
c55274ea-5fdb-4bfd-b769-f72e87d54401,Cross-platform full-range firmware,2024-09-21,2024-10-25,percentage,72,5,"['exist', 'today', 'tell']"
37e50d79-f516-488f-b077-680beedcbe05,Proactive stable help-desk,2024-10-01,2024-11-03,fixed_amount,16,89,"['question', 'easy', 'degree']"
732b59cb-a891-447f-b071-d6b7bd44cc2f,Team-oriented upward-trending open architecture,2024-10-06,2024-10-30,percentage,63,50,"['enough', 'week', 'reflect', 'car']"
37119f10-c907-4224-99d9-31d38ea6197a,Cross-platform 4thgeneration orchestration,2024-09-25,2024-10-26,percentage,64,74,"['culture', 'material', 'shake', 'cause']"
b720a5e4-18fd-4b99-8bce-dcace0c22a52,Secured executive framework,2024-09-17,2024-11-06,fixed_amount,69,45,"['writer', 'positive']"
92625fc8-02f8-420c-ba45-3d45c384d9c2,Configurable composite parallelism,2024-10-08,2024-11-03,percentage,75,98,"['ground', 'sure', 'foot', 'memory', 'western']"
da97ddd7-7c51-47ad-8280-f83fa1475b26,Stand-alone optimizing workforce,2024-10-03,2024-11-02,fixed_amount,69,0,['ground']
5db56867-63c6-4281-994a-b50164b522a9,Quality-focused user-facing encoding,2024-09-26,2024-10-25,percentage,39,72,['recognize']
a6d44911-3237-4502-a13d-3137f18f297c,Realigned next generation productivity,2024-10-01,2024-10-13,fixed_amount,2,48,"['audience', 'present', 'sister']"
ec73e04b-3604-4359-b164-23d24a96e872,Vision-oriented 4thgeneration application,2024-10-08,2024-10-13,percentage,75,64,"['read', 'join', 'single', 'plant']"
0187baf2-6da2-4acd-8cb3-d5c1d37b488e,Multi-lateral actuating encryption,2024-09-22,2024-10-20,fixed_amount,29,8,"['raise', 'social']"
86b451c3-009a-42cf-9a8f-d5a185545230,Streamlined hybrid hierarchy,2024-09-28,2024-11-04,fixed_amount,83,52,['probably']
8392150f-0130-4eb2-961f-b84f318ed95b,Synchronized intermediate functionalities,2024-09-24,2024-10-17,percentage,78,82,"['others', 'get']"
92698207-1a00-4b76-bbef-893e1c3e5f3b,Triple-buffered exuding Graphic Interface,2024-09-21,2024-10-14,fixed_amount,77,13,['pattern']
73831bd4-50ce-422d-8704-2d0a19e8e0db,Intuitive analyzing circuit,2024-09-27,2024-10-29,fixed_amount,62,17,"['base', 'while', 'chair', 'his']"
f3302200-5c68-4662-a5cc-1f8500ee63be,Proactive directional complexity,2024-10-01,2024-10-13,fixed_amount,47,74,"['interview', 'ever', 'people', 'senior', 'expert']"
edd5e65a-ab8c-4bd5-908e-c06fdba27884,Cloned solution-oriented parallelism,2024-09-11,2024-10-18,percentage,20,25,"['Congress', 'common', 'seem', 'chance']"
f9ed1c4c-2bf5-46ec-a10c-9036ed3acb20,Business-focused homogeneous open system,2024-09-20,2024-10-27,fixed_amount,69,48,"['five', 'major', 'else', 'when']"
881addfb-4652-433d-89e2-809e33524c01,Streamlined next generation utilization,2024-09-23,2024-10-12,percentage,53,64,"['kind', 'set', 'guess', 'yard']"
196ad9cb-02fe-4786-b413-439009e6a36c,Organic dynamic paradigm,2024-09-22,2024-11-03,percentage,11,21,['case']
063f9000-e643-40b4-8d6e-e9ba9e47843b,Inverse 3rdgeneration conglomeration,2024-09-21,2024-11-04,fixed_amount,28,55,"['attention', 'less', 'conference', 'single']"
f4a0869a-dbed-45e8-a56d-ce8d1a578b98,De-engineered coherent solution,2024-10-08,2024-11-01,fixed_amount,23,70,['hard']
a11ac3b3-b90d-4fff-8b29-cb337be0c548,Phased empowering attitude,2024-09-25,2024-10-12,fixed_amount,52,83,"['any', 'decision']"
3212996f-8e65-4c10-8246-31724fb0acc3,Public-key solution-oriented pricing structure,2024-09-20,2024-11-03,fixed_amount,78,0,"['range', 'east', 'fund', 'some']"
dda1249e-1559-4d52-a622-899d183cc444,Front-line disintermediate matrix,2024-09-12,2024-10-11,percentage,42,35,"['try', 'road', 'analysis']"
0f591683-d1c2-4ac7-8d6c-3141a4a3beff,Multi-layered methodical migration,2024-10-03,2024-10-28,percentage,34,54,"['notice', 'treat', 'prevent', 'never']"
68b51ed0-c8b4-4d15-88e5-5963296a429f,Front-line local moratorium,2024-09-11,2024-11-02,fixed_amount,6,82,"['use', 'agreement', 'so', 'other']"
aac723cb-6128-4e19-b279-96db19278638,Networked fresh-thinking solution,2024-10-04,2024-10-31,fixed_amount,99,19,"['our', 'evidence', 'hard', 'community', 'break']"
006431ff-c49d-4f8f-b3a4-2d3e378a11b2,Assimilated context-sensitive website,2024-10-07,2024-11-08,fixed_amount,45,70,"['probably', 'pattern', 'decide']"
1f7f57f5-508f-4e59-815d-df2817ca7c6d,Monitored bifurcated functionalities,2024-10-03,2024-10-23,fixed_amount,98,36,"['really', 'draw', 'former']"
3c26a985-5a26-4efd-ac3c-654c3a40a35a,Exclusive needs-based task-force,2024-09-21,2024-10-18,percentage,89,32,['dark']
12421b23-1737-44f2-8a9a-0a4b4476645f,Optimized exuding architecture,2024-09-24,2024-10-29,fixed_amount,38,8,"['every', 'sea', 'radio', 'science', 'growth']"
0412afe2-3864-4df0-9976-d97bac702e14,Ergonomic transitional flexibility,2024-09-24,2024-10-29,fixed_amount,94,25,"['form', 'yeah', 'why', 'suffer', 'herself']"
