event_id,event_name,start_date,end_date,location,expected_attendance
819fc743-2922-4f5f-a926-9a1848eaa4e9,Grass-roots mobile pricing structure,2024-10-17,2024-11-21,New York,405
5d34a694-9002-45f5-acf7-f54241798c6b,Grass-roots well-modulated frame,2024-10-28,2024-11-27,London,55
30c74b52-2596-408f-94cd-1c675a02d5fc,Future-proofed needs-based data-warehouse,2024-10-09,2024-11-12,New York,480
42ed32d8-a6b1-45de-9a9e-96dd1a4c0c44,Horizontal executive structure,2024-09-20,2024-12-05,New York,420
5890e151-9a03-4eb7-9ebb-5b6d3ebd4599,Mandatory contextually-based analyzer,2024-10-15,2024-11-28,New York,725
86c8c525-55f3-48e3-938b-cfdd95d56aec,Versatile logistical capacity,2024-11-08,2024-12-06,Paris,145
2c9c8e85-4524-4bb8-a6b0-d9f1bcdcf0b1,Front-line static benchmark,2024-09-21,2024-12-01,Paris,250
138299be-25c5-48f1-8e13-f43b588670d7,Multi-lateral multimedia knowledge user,2024-10-17,2024-11-11,London,520
03d25f5c-61b4-4c1c-8b47-552f9737f686,Up-sized directional intranet,2024-10-30,2024-12-06,New York,960
8a84c918-eed9-484e-94ab-37e747e1f124,Extended demand-driven support,2024-10-26,2024-11-15,Paris,935
cbdd9675-ebd4-4f12-b1bf-884b92d1b03d,Automated even-keeled hierarchy,2024-11-04,2024-11-16,Paris,30
fff395fa-ccb5-4061-b2d2-88087e8ce164,Reduced didactic collaboration,2024-09-20,2024-11-21,London,490
3690ec41-c8f0-48f1-8d8e-84071676b761,Vision-oriented human-resource hardware,2024-10-06,2024-12-05,New York,1000
1d1a303f-25f1-4160-96f2-4f023d2984ae,Upgradable neutral solution,2024-09-14,2024-12-02,Paris,755
9e07270c-6289-4272-b8e0-df3c3a634dbb,Enhanced static moratorium,2024-11-03,2024-11-30,Paris,220
5e269084-80ff-4dbf-8992-585827e597dc,Horizontal methodical open system,2024-09-25,2024-11-16,London,420
e83ec4d6-fe28-45dc-8a6a-b39b888173f5,Profit-focused explicit neural-net,2024-11-08,2024-11-24,Rome,835
29a959bd-5c30-45a4-a171-b6391724bf98,Secured next generation archive,2024-10-30,2024-11-19,Paris,300
ba984205-05ca-4cff-8518-b4aafe77e15f,Synchronized non-volatile support,2024-11-02,2024-11-24,Rome,350
c19dfb99-b5cd-4973-aba9-7a68b00af3ac,Synergistic 6thgeneration interface,2024-09-23,2024-11-29,London,985
47052848-958f-4f77-92bb-0df94f4db133,Virtual zero-defect functionalities,2024-09-25,2024-11-18,New York,105
bbf6dde2-3bbd-4241-a6da-306368e13c1d,Compatible homogeneous function,2024-10-29,2024-11-17,Paris,470
aadb21ba-30f2-459b-96ab-48938cfe6584,Centralized context-sensitive throughput,2024-09-12,2024-12-05,New York,270
c64bcbc2-419b-4afb-a45a-41d203efb3c4,Optimized methodical benchmark,2024-10-01,2024-11-10,New York,205
c7bbf821-eacc-44aa-981f-d02ce2fb5f0f,Innovative cohesive help-desk,2024-10-10,2024-12-04,London,970
3b51af09-f0e7-4c7c-9c2e-bfc98080c05d,Diverse mobile structure,2024-11-07,2024-11-20,Paris,250
32ac1247-740f-4ff5-af81-6c8310510ac4,Proactive user-facing orchestration,2024-10-23,2024-11-24,Rome,320
bd50d248-cf44-49ce-95b1-515bd0ee52a9,Secured zero administration array,2024-10-19,2024-11-12,New York,165
